Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;4183;e;1786;e;5969;e;4646;e;2418;e;7064;e;5172;e;2540;e;7712;e;5656;e;2746;e;8402;e;5347;e;2477;e;7824;e;4967;e;2288;e;7255;e;4667;e;2131;e;6798;e;3937;e;1841;e;5778;e;3677;e;1823;e;5500;e;3198;e;1610;e;4808;e;2947;e;1601;e;4548;e;2290;e;1267;e;3557;e;1984;e;1267;e;3251;e;2092;e;1309;e;3401;e;2176;e;1274;e;3450;e;2289;e;1370;e;3659;e;2536;e;1504;e;4040;e;2664;e;1636;e;4300;e;3272;e;1811;e;5083;e;3985;e;2224;e;6209;e;4521;e;2478;e;6996;e;4848;e;2613;e;7461;e;3414;e;2019;e;5430;e;3960;e;2440;e;6400;e;4647;e;2900;e;7547;e;5245;e;3407;e;8652;e
;Erster Schulabschluss;10133;e;5973;e;16106;e;9797;e;5990;e;15787;e;9547;e;5828;e;15375;e;9398;e;5908;e;15306;e;10971;e;7086;e;18057;e;13116;e;8875;e;21991;e;13175;e;8845;e;22020;e;11817;e;7939;e;19756;e;11444;e;7521;e;18965;e;9762;e;6766;e;16528;e;8884;e;6169;e;15053;e;8714;e;6197;e;14911;e;8728;e;6214;e;14942;e;9836;e;6797;e;16633;e;10006;e;6690;e;16696;e;10131;e;6847;e;16978;e;10835;e;7246;e;18081;e;10524;e;7187;e;17711;e;10461;e;7041;e;17502;e;12385;e;7794;e;20179;e;13359;e;8187;e;21543;e;13824;e;8679;e;22500;e;13395;e;8205;e;21603;e;13590;e;8494;e;22087;e;13368;e;8905;e;22268;e;14035;e;9312;e;23344;e
;Mittlerer Schulabschluss;21148;e;21586;e;42734;e;21487;e;21969;e;43456;e;22297;e;22819;e;45116;e;22834;e;24010;e;46844;e;23371;e;24264;e;47635;e;31309;e;32313;e;63622;e;30603;e;31730;e;62333;e;29887;e;30100;e;59987;e;28622;e;28336;e;56958;e;25214;e;23808;e;49022;e;20798;e;19849;e;40647;e;18878;e;18486;e;37364;e;19444;e;18720;e;38164;e;20789;e;19632;e;40421;e;23355;e;22324;e;45679;e;25325;e;24012;e;49337;e;26678;e;25143;e;51821;e;27393;e;25805;e;53198;e;26971;e;25134;e;52105;e;31474;e;29085;e;60559;e;33522;e;30795;e;64317;e;33477;e;31128;e;64605;e;33780;e;31653;e;65433;e;33779;e;31600;e;65379;e;33171;e;30930;e;64101;e;32942;e;30814;e;63756;e
;Fachhochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Allgemeine Hochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Insgesamt;35464;e;29345;e;64809;e;35930;e;30377;e;66307;e;37016;e;31187;e;68203;e;37888;e;32664;e;70552;e;39689;e;33827;e;73516;e;49392;e;43476;e;92868;e;48445;e;42706;e;91151;e;45641;e;39880;e;85521;e;43743;e;37680;e;81423;e;38174;e;32184;e;70358;e;32629;e;27619;e;60248;e;29882;e;25950;e;55832;e;30156;e;26201;e;56357;e;32717;e;27738;e;60455;e;35537;e;30288;e;65825;e;37745;e;32229;e;69974;e;40049;e;33893;e;73942;e;40581;e;34628;e;75209;e;40704;e;33986;e;74690;e;47844;e;39103;e;86947;e;51399;e;41460;e;92859;e;52149;e;42420;e;94569;e;50589;e;41877;e;92466;e;51332;e;42534;e;93866;e;51186;e;42730;e;93916;e;52219;e;43533;e;95755;e
Realschulen;Ohne Ersten Schulabschluss;2635;e;1655;e;4290;e;2817;e;1874;e;4691;e;3001;e;1773;e;4774;e;3036;e;2051;e;5087;e;2208;e;1581;e;3789;e;2469;e;1819;e;4288;e;2071;e;1425;e;3496;e;2074;e;1382;e;3456;e;2028;e;1361;e;3389;e;1780;e;1232;e;3012;e;1818;e;1258;e;3076;e;1732;e;1265;e;2997;e;1588;e;1002;e;2590;e;1363;e;935;e;2298;e;1349;e;968;e;2317;e;1227;e;816;e;2043;e;994;e;642;e;1636;e;1043;e;564;e;1607;e;977;e;651;e;1628;e;1915;e;1035;e;2950;e;1779;e;978;e;2757;e;1626;e;909;e;2535;e;846;e;516;e;1362;e;1155;e;732;e;1882;e;1400;e;932;e;2332;e;1544;e;1158;e;2697;e
;Erster Schulabschluss;6225;e;4813;e;11038;e;6763;e;5372;e;12135;e;6943;e;5486;e;12429;e;7155;e;5805;e;12960;e;6706;e;5565;e;12271;e;5693;e;4746;e;10439;e;5512;e;4256;e;9768;e;5229;e;4013;e;9242;e;5762;e;4641;e;10403;e;5689;e;4316;e;10005;e;5236;e;4100;e;9336;e;5159;e;4015;e;9174;e;5202;e;3704;e;8906;e;4848;e;3448;e;8296;e;5005;e;3552;e;8557;e;4793;e;3358;e;8151;e;3996;e;2745;e;6741;e;3570;e;2243;e;5813;e;3757;e;2402;e;6159;e;3971;e;2617;e;6588;e;4329;e;2574;e;6903;e;4002;e;2400;e;6402;e;4449;e;2835;e;7284;e;4990;e;3416;e;8406;e;5573;e;3919;e;9492;e;5720;e;4161;e;9881;e
;Mittlerer Schulabschluss;101950;e;113514;e;215464;e;102160;e;113447;e;215607;e;100600;e;111878;e;212478;e;102576;e;112155;e;214731;e;102488;e;113040;e;215528;e;98444;e;107065;e;205509;e;103604;e;112067;e;215671;e;105529;e;113236;e;218765;e;106637;e;113458;e;220095;e;108445;e;114256;e;222701;e;104511;e;108903;e;213414;e;101779;e;106217;e;207996;e;99577;e;101665;e;201242;e;94348;e;95705;e;190053;e;93934;e;95713;e;189647;e;97112;e;98570;e;195682;e;92687;e;93774;e;186461;e;87941;e;88872;e;176813;e;86332;e;86668;e;173000;e;79597;e;78940;e;158537;e;71904;e;70479;e;142386;e;67302;e;68085;e;135390;e;64926;e;64104;e;129030;e;63101;e;62363;e;125464;e;60212;e;59470;e;119682;e;59623;e;58354;e;117977;e
;Fachhochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Allgemeine Hochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Insgesamt;110810;e;119982;e;230792;e;111740;e;120693;e;232433;e;110544;e;119137;e;229681;e;112767;e;120011;e;232778;e;111402;e;120186;e;231588;e;106606;e;113630;e;220236;e;111187;e;117748;e;228935;e;112832;e;118631;e;231463;e;114427;e;119460;e;233887;e;115914;e;119804;e;235718;e;111565;e;114261;e;225826;e;108670;e;111497;e;220167;e;106367;e;106371;e;212738;e;100559;e;100088;e;200647;e;100288;e;100233;e;200521;e;103132;e;102744;e;205876;e;97677;e;97161;e;194838;e;92554;e;91679;e;184233;e;91066;e;89721;e;180787;e;85483;e;82592;e;168075;e;78012;e;74034;e;152046;e;72930;e;71397;e;144327;e;70221;e;67455;e;137676;e;69246;e;66511;e;135752;e;67190;e;64321;e;131511;e;66882;e;63673;e;130555;e
Gymnasien (G9);Ohne Ersten Schulabschluss;930;e;861;e;1791;e;922;e;783;e;1705;e;920;e;845;e;1765;e;775;e;683;e;1458;e;766;e;639;e;1405;e;535;e;508;e;1043;e;447;e;414;e;861;e;428;e;348;e;776;e;455;e;370;e;825;e;432;e;290;e;722;e;330;e;293;e;623;e;31;e;38;e;69;e;23;e;23;e;46;e;24;e;12;e;36;e;22;e;26;e;48;e;10;e;15;e;25;e;23;e;7;e;30;e;16;e;5;e;21;e;23;e;16;e;39;e;96;e;43;e;139;e;69;e;45;e;114;e;90;e;78;e;168;e;39;e;39;e;78;e;56;e;43;e;99;e;132;e;124;e;256;e;427;e;435;e;857;e
;Erster Schulabschluss;1813;e;1613;e;3426;e;1899;e;1655;e;3554;e;1926;e;1791;e;3717;e;2047;e;1734;e;3781;e;1776;e;1674;e;3450;e;1620;e;1562;e;3182;e;1488;e;1380;e;2868;e;1169;e;1048;e;2217;e;1257;e;1056;e;2313;e;1050;e;927;e;1977;e;1043;e;1043;e;2086;e;751;e;676;e;1427;e;405;e;367;e;772;e;276;e;263;e;539;e;257;e;226;e;483;e;128;e;128;e;256;e;102;e;77;e;179;e;141;e;140;e;281;e;115;e;90;e;205;e;363;e;259;e;622;e;249;e;264;e;513;e;303;e;270;e;573;e;180;e;168;e;348;e;209;e;188;e;397;e;290;e;324;e;614;e;816;e;790;e;1606;e
;Mittlerer Schulabschluss;14263;e;16794;e;31057;e;15156;e;18044;e;33200;e;15896;e;18387;e;34283;e;15042;e;17553;e;32595;e;14008;e;16027;e;30035;e;12838;e;15334;e;28172;e;21432;e;26420;e;47852;e;11890;e;13624;e;25514;e;11850;e;13328;e;25178;e;12492;e;13484;e;25976;e;12413;e;13094;e;25507;e;11210;e;11425;e;22635;e;8951;e;9022;e;17973;e;5247;e;5119;e;10366;e;3035;e;3216;e;6251;e;4306;e;4554;e;8860;e;3039;e;3214;e;6253;e;2684;e;2719;e;5403;e;3255;e;3509;e;6764;e;4216;e;4664;e;8880;e;4329;e;4614;e;8943;e;5133;e;5220;e;10350;e;5916;e;6081;e;11997;e;6062;e;6480;e;12547;e;6341;e;6997;e;13338;e;8666;e;9052;e;17723;e
;Fachhochschulreife;2505;e;3120;e;5625;e;2692;e;3574;e;6266;e;3063;e;3839;e;6902;e;3568;e;4414;e;7982;e;3887;e;4549;e;8436;e;3517;e;4258;e;7775;e;3554;e;4284;e;7838;e;3747;e;4460;e;8207;e;4337;e;5202;e;9539;e;4240;e;5017;e;9257;e;3600;e;4447;e;8047;e;3449;e;3947;e;7396;e;3569;e;4024;e;7593;e;3100;e;3538;e;6638;e;2674;e;3090;e;5764;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Allgemeine Hochschulreife;87797;e;108367;e;196164;e;90184;e;113933;e;204117;e;91293;e;116537;e;207830;e;84334;e;108139;e;192473;e;86941;e;114585;e;201526;e;86787;e;112905;e;199692;e;87418;e;114744;e;202162;e;88586;e;116751;e;205337;e;94715;e;121573;e;216288;e;100924;e;130128;e;231052;e;89637;e;113253;e;202890;e;91503;e;115491;e;206994;e;94013;e;118375;e;212388;e;93038;e;114851;e;207889;e;62360;e;75861;e;138221;e;46584;e;56997;e;103581;e;19853;e;24737;e;44590;e;19020;e;23061;e;42081;e;19257;e;23509;e;42766;e;14707;e;18470;e;33177;e;14088;e;17934;e;32022;e;13644;e;17616;e;31260;e;13992;e;17256;e;31248;e;21551;e;27858;e;49409;e;21061;e;26963;e;48024;e;22503;e;28111;e;50614;e
;Insgesamt;107308;e;130755;e;238063;e;110853;e;137989;e;248842;e;113098;e;141399;e;254497;e;105766;e;132523;e;238289;e;107378;e;137474;e;244852;e;105297;e;134567;e;239864;e;114339;e;147242;e;261581;e;105820;e;136231;e;242051;e;112614;e;141529;e;254143;e;119138;e;149846;e;268984;e;107023;e;132130;e;239153;e;106944;e;131577;e;238521;e;106961;e;131811;e;238772;e;101685;e;123783;e;225468;e;68348;e;82419;e;150767;e;51028;e;61694;e;112722;e;23017;e;28035;e;51052;e;21861;e;25925;e;47786;e;22650;e;27124;e;49774;e;19382;e;23436;e;42818;e;18735;e;22860;e;41592;e;19167;e;23184;e;42354;e;20124;e;23544;e;43671;e;27883;e;34569;e;62447;e;27824;e;34408;e;62232;e;32412;e;38383;e;70795;e
Gymnasien (G8);Ohne Ersten Schulabschluss;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;179;e;138;e;317;e;434;e;315;e;749;e;332;e;246;e;578;e;429;e;308;e;737;e;452;e;334;e;786;e;491;e;371;e;862;e;687;e;558;e;1245;e;547;e;474;e;1021;e;611;e;537;e;1148;e;1025;e;743;e;1768;e;1065;e;747;e;1809;e;708;e;516;e;1224;e;465;e;372;e;837;e;654;e;617;e;1271;e;491;e;446;e;932;e;386;e;345;e;731;e
;Erster Schulabschluss;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;100;e;79;e;179;e;789;e;630;e;1419;e;1915;e;1644;e;3559;e;2659;e;2103;e;4762;e;3071;e;2548;e;5619;e;2919;e;2400;e;5319;e;3085;e;2652;e;5737;e;2668;e;2133;e;4801;e;2813;e;2466;e;5279;e;2424;e;2127;e;4551;e;2469;e;2070;e;4539;e;2316;e;1929;e;4245;e;1608;e;1587;e;3198;e;1690;e;1684;e;3369;e;1985;e;1897;e;3885;e;1639;e;1571;e;3210;e
;Mittlerer Schulabschluss;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1518;e;1449;e;2967;e;2571;e;2797;e;5368;e;3860;e;4205;e;8065;e;6252;e;6451;e;12703;e;9084;e;9107;e;18191;e;12220;e;12512;e;24732;e;13469;e;13234;e;26703;e;13572;e;13127;e;26699;e;14201;e;13149;e;27350;e;13246;e;11889;e;25135;e;13953;e;12243;e;26196;e;13641;e;12090;e;25731;e;11796;e;10656;e;22452;e;12526;e;11701;e;24227;e;13134;e;13359;e;26485;e;13496;e;13065;e;26561;e
;Fachhochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;483;e;529;e;1012;e;462;e;509;e;971;e;416;e;483;e;899;e;1034;e;1124;e;2158;e;1388;e;1492;e;2880;e;-;;1;e;1;e;-;;1;e;1;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Allgemeine Hochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;14628;e;19939;e;34567;e;14463;e;18364;e;32827;e;11974;e;14685;e;26659;e;32510;e;40558;e;73068;e;61392;e;73170;e;134562;e;82775;e;98977;e;181752;e;91384;e;109623;e;201007;e;96191;e;114566;e;210757;e;99127;e;118493;e;217620;e;99450;e;117355;e;216805;e;96078;e;115128;e;211206;e;93861;e;113139;e;206997;e;79374;e;96498;e;175872;e;78492;e;94993;e;173485;e;76137;e;93975;e;170112;e;76195;e;90656;e;166851;e
;Insgesamt;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;16908;e;22134;e;39042;e;18719;e;22615;e;41334;e;18497;e;21263;e;39760;e;42884;e;50544;e;93428;e;75387;e;86651;e;162038;e;98405;e;114261;e;212666;e;108625;e;126068;e;234693;e;112978;e;130300;e;243278;e;116752;e;134645;e;251397;e;116145;e;132114;e;248259;e;113562;e;130188;e;243750;e;110523;e;127674;e;238197;e;93243;e;109116;e;202356;e;93357;e;108990;e;202352;e;91747;e;109675;e;201422;e;91719;e;105639;e;197358;e
Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;3630;e;1881;e;5511;e;3710;e;1971;e;5681;e;3744;e;2129;e;5873;e;3604;e;2113;e;5717;e;3436;e;2012;e;5448;e;3245;e;1988;e;5233;e;3261;e;1951;e;5212;e;3143;e;1887;e;5030;e;2863;e;1892;e;4755;e;2475;e;1680;e;4155;e;1988;e;1529;e;3517;e;1640;e;1388;e;3028;e;1571;e;1176;e;2747;e;1481;e;1170;e;2651;e;1612;e;1200;e;2812;e;1937;e;1518;e;3455;e;2754;e;2067;e;4821;e;3261;e;2231;e;5492;e;3676;e;2485;e;6161;e;4301;e;2887;e;7188;e;5223;e;3351;e;8577;e;6093;e;3840;e;9933;e;5301;e;3480;e;8778;e;5375;e;3446;e;8821;e;6305;e;4302;e;10604;e;6952;e;5025;e;11985;e
;Erster Schulabschluss;14640;e;9690;e;24330;e;15183;e;10497;e;25680;e;15104;e;10856;e;25960;e;15327;e;11457;e;26784;e;15609;e;11076;e;26685;e;15727;e;11383;e;27110;e;15468;e;11462;e;26930;e;15130;e;11289;e;26419;e;15523;e;11374;e;26897;e;14160;e;10861;e;25021;e;12605;e;9861;e;22466;e;10292;e;8445;e;18737;e;9974;e;7966;e;17940;e;10080;e;8032;e;18112;e;9826;e;7926;e;17752;e;10864;e;8492;e;19356;e;12954;e;9842;e;22796;e;12824;e;9935;e;22759;e;15041;e;10810;e;25851;e;16758;e;11935;e;28693;e;18660;e;12972;e;31632;e;22614;e;15507;e;38118;e;22584;e;15384;e;37968;e;22497;e;15636;e;38133;e;22841;e;16407;e;39243;e;24404;e;17747;e;42151;e
;Mittlerer Schulabschluss;19315;e;19377;e;38692;e;20231;e;19868;e;40099;e;20005;e;19965;e;39970;e;19559;e;19752;e;39311;e;19819;e;19653;e;39472;e;18847;e;19417;e;38264;e;19976;e;20646;e;40622;e;19406;e;19240;e;38646;e;19560;e;19170;e;38730;e;19039;e;18806;e;37845;e;18128;e;17306;e;35434;e;16776;e;16657;e;33433;e;17111;e;16663;e;33774;e;18052;e;16977;e;35029;e;18172;e;17330;e;35502;e;20910;e;20098;e;41008;e;25281;e;23875;e;49156;e;27350;e;25801;e;53151;e;29519;e;27963;e;57482;e;29281;e;26854;e;56135;e;30417;e;27507;e;57924;e;33264;e;30366;e;63633;e;36270;e;32853;e;69123;e;37743;e;34834;e;72577;e;39222;e;35991;e;75213;e;40350;e;37529;e;77879;e
